District,Mandal,Date,Min Temp (°C),Max Temp (°C)
Adilabad,Neradigonda,22-Jul-22,24.5,29.4
Adilabad,Neradigonda,23-Jul-22,22.2,29.5
Adilabad,Neradigonda,24-Jul-22,22.4,25.3
Adilabad,Neradigonda,25-Jul-22,22.3,27.1
Adilabad,Neradigonda,26-Jul-22,23.2,29.8
Adilabad,Neradigonda,27-Jul-22,22.3,26.2
Adilabad,Neradigonda,28-Jul-22,23.1,31.0
Adilabad,Neradigonda,29-Jul-22,22.6,33.6
Adilabad,Neradigonda,30-Jul-22,21.8,30.7
Adilabad,Neradigonda,31-Jul-22,22.7,32.3
Adilabad,Sirikonda,01-Jul-22,24.8,33.9
Adilabad,Sirikonda,02-Jul-22,25.7,32.1
Adilabad,Sirikonda,03-Jul-22,24.8,32.7
Adilabad,Sirikonda,04-Jul-22,23.8,30.6
Adilabad,Sirikonda,05-Jul-22,24.2,28.1
Adilabad,Sirikonda,06-Jul-22,23.8,30.7
Adilabad,Sirikonda,07-Jul-22,23.1,29.3
Adilabad,Sirikonda,08-Jul-22,23.8,32.0
Adilabad,Sirikonda,09-Jul-22,22.7,25.6
Adilabad,Sirikonda,10-Jul-22,23.0,25.1
Adilabad,Sirikonda,11-Jul-22,23.1,24.6
Adilabad,Sirikonda,12-Jul-22,22.6,24.6
Adilabad,Sirikonda,13-Jul-22,22.1,24.7
Adilabad,Sirikonda,14-Jul-22,21.8,25.0
Adilabad,Sirikonda,15-Jul-22,23.1,25.3
Adilabad,Sirikonda,16-Jul-22,24.1,30.0
Adilabad,Sirikonda,17-Jul-22,24.7,31.9
Adilabad,Sirikonda,18-Jul-22,23.8,26.7
Adilabad,Sirikonda,19-Jul-22,24.0,27.6
Adilabad,Sirikonda,20-Jul-22,23.6,30.9
Adilabad,Sirikonda,21-Jul-22,23.9,30.4
Adilabad,Sirikonda,22-Jul-22,24.8,29.0
Adilabad,Sirikonda,23-Jul-22,23.1,28.6
Adilabad,Sirikonda,24-Jul-22,23.1,24.9
Adilabad,Sirikonda,25-Jul-22,23.3,26.4
Adilabad,Sirikonda,26-Jul-22,23.4,29.0
Adilabad,Sirikonda,27-Jul-22,23.6,26.5
Adilabad,Sirikonda,28-Jul-22,24.6,31.3
Adilabad,Sirikonda,29-Jul-22,24.3,31.5
Adilabad,Sirikonda,30-Jul-22,24.8,30.4
Adilabad,Sirikonda,31-Jul-22,24.4,31.0
Adilabad,Talamadugu,01-Jul-22,23.8,34.9
Adilabad,Talamadugu,02-Jul-22,25.0,32.8
Adilabad,Talamadugu,03-Jul-22,24.5,33.0
Adilabad,Talamadugu,04-Jul-22,23.3,32.8
Adilabad,Talamadugu,05-Jul-22,24.0,27.6
Adilabad,Talamadugu,06-Jul-22,24.4,30.7
Adilabad,Talamadugu,07-Jul-22,23.8,32.3
Adilabad,Talamadugu,08-Jul-22,23.6,31.9
Adilabad,Talamadugu,09-Jul-22,23.4,26.4
Adilabad,Talamadugu,10-Jul-22,23.2,25.5
Adilabad,Talamadugu,11-Jul-22,23.6,26.3
Adilabad,Talamadugu,12-Jul-22,23.1,25.8
Adilabad,Talamadugu,13-Jul-22,22.7,24.2
Adilabad,Talamadugu,14-Jul-22,22.1,26.2
Adilabad,Talamadugu,15-Jul-22,22.3,25.6
